_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
1,12249,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576642.263245549,6143576.596851231
2,12250,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576479.000093787,6143748.99991395
3,12253,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576415.3786929523,6142541.663772185
4,12255,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,575849.2934516666,6143015.343227335
5,12259,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576158.2269896596,6142940.5135211665
6,12305,G_DU_RM_CL_02       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572137.5351607281,6143942.437719046
7,12309,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576202.9054572823,6143044.011781549
8,12310,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,575975.000093318,6142715.00004098
9,12313,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576285.4053780744,6144109.382312258
10,12318,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576332.0970616692,6144185.256298101
11,12321,C_DU_RM_CL_01       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572120.626113329,6141423.509012938
12,12322,C_DU_RM_CL_01       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572142.8465920577,6141390.004697354
13,12326,C_DU_RM_CL_01       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572628.5785551259,6141189.72257619
14,12327,C_DU_RM_CL_01       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",572460.7353300648,6141252.835296349
