_id,GID,COD_CIRCUITO,MUNICIPIO,VERTICES
1,15,C_DU_RM_CL_02       ,C ,"POLYGON ((572038.130474714 6141935.7895644, 572074.800842748 6141901.07682836, 572086.595082759 6141889.91225235, 572109.924298781 6141867.82860433, 572156.580234824 6141796.33708427, 572208.620138873 6141716.59570819, 572260.675018921 6141636.83116412, 572297.606154956 6141580.24095607, 572443.231147091 6141408.93372391, 572528.347851171 6141308.80585181, 572784.396875409 6141007.60015553, 572807.707531431 6140980.17833151, 572842.992651464 6140938.67042747, 572852.913035473 6140923.95436346, 572854.946443475 6140920.93813945, 572915.458731531 6140831.17369137, 572920.294731536 6140823.99977136, 573113.296843715 6140516.87506708, 573159.163339758 6140485.37196305, 573164.370635763 6140481.79535504, 573568.8080191294 6140568.924207432, 573702.845772265 6140571.90149913, 573692.646412255 6140677.69442723, 573691.545420254 6140689.11449124, 573680.518860244 6140803.48687534, 573672.014028236 6140891.70297142, 573667.804620232 6140891.46985142, 573663.801036228 6140891.24821942, 573521.294348095 6140883.35887542, 573431.537740012 6140878.38985141, 573432.207116012 6141069.38581959, 573432.708236013 6141212.37263572, 573432.712332013 6141213.54565972, 573445.508812025 6141299.3657238, 573455.009100034 6141363.08015586, 573469.718508047 6141461.72943596, 573463.044620041 6141466.14492396, 573441.305964021 6141480.52757997, 573426.053772007 6141490.61845998, 573314.896683903 6141564.16121205, 573298.475339888 6141575.02566006, 573295.848875885 6141576.76338806, 573294.908939885 6141577.38518006, 573288.849771879 6141581.39410807, 573249.849899843 6141601.53545209, 573245.469963838 6141603.79746809, 573244.017419837 6141604.54767609, 573235.86234783 6141608.75935609, 573037.378507645 6141684.78716416, 572980.751851592 6141706.47753218, 572884.907147503 6141753.60095623, 572873.616779492 6141759.15196423, 572775.226795401 6141807.52674828, 572682.269451314 6141838.53052431, 572677.86221931 6141840.00047631, 572668.005771301 6141841.70626831, 572481.461643127 6141873.98985234, 572372.010251025 6141892.93170836, 572125.720202796 6141935.5550684, 572051.078794726 6141948.08982041, 572048.070282723 6141945.23196441, 572045.479082721 6141942.7703644, 572038.130474714 6141935.7895644))"
2,16,C_DU_RM_CL_11       ,C ,"POLYGON ((574556.8798916825 6139197.991285089, 574537.5862656614 6139154.657666282, 574494.7937712293 6139063.158267619, 574617.1644468047 6139004.13768113, 574688.907853183 6138970.02223364, 574772.829965261 6138930.2024576, 574783.822733271 6138924.98652159, 574784.966861272 6138919.26908159, 574786.475757274 6138911.72876158, 574832.301325316 6138924.90434559, 574851.031949334 6138930.2896576, 574907.029645386 6138936.0954496, 575009.502605481 6138946.71976961, 575110.9829074673 6138956.715003482, 575206.761933665 6138967.17135363, 575312.739661764 6138978.15909764, 575412.360909857 6138988.48767365, 575529.312333965 6138994.14312966, 575651.601678079 6138999.93148166, 575769.693070189 6139005.52120967, 575886.098574298 6139019.28028168, 576010.007246413 6139033.92623369, 576109.663694506 6139045.70565771, 576221.45812661 6139058.91976972, 576233.9722884052 6139060.3103887625, 576226.431854615 6139174.33256983, 576216.761358606 6139274.96943392, 576194.456462585 6139580.0428422, 576180.730510572 6139559.23628218, 576088.244046486 6139494.47007412, 576079.707150478 6139493.92057012, 576070.392206469 6139493.32095412, 575972.744718379 6139487.03548212, 575845.90740626 6139478.87106611, 575733.608430156 6139471.6424581, 575728.643694151 6139471.3228421, 575726.074446149 6139471.1574661, 575724.011918147 6139471.0246981, 575666.9256044282 6139469.066897179, 575617.1855029205 6139461.108480939, 575490.8456450914 6139417.834592627, 575479.000333919 6139398.82751403, 575476.642541916 6139397.99477803, 575430.317581873 6139377.41708201, 575376.2049159444 6139358.08355128, 575373.0028298879 6139497.05408613, 575345.729805795 6139569.77506619, 575345.542029794 6139571.38242619, 575236.024536093 6139559.894458577, 575230.5983551716 6139603.550550536, 575214.059789672 6139601.54201022, 575142.512877605 6139593.69346622, 575080.613453548 6139586.90335421, 575079.906125547 6139585.42908221, 575052.685389522 6139528.69103416, 575052.593709521 6139528.49989816, 575048.382573518 6139519.72217015, 575048.247181517 6139519.78565815, 575008.52014148 6139538.43449016, 574965.53495744 6139558.61263418, 574920.134733398 6139579.9246022, 574873.497229355 6139601.81721022, 574781.3921337535 6139645.19346603, 574731.6417065567 6139562.798267464, 574680.4756999204 6139462.459734972, 574612.0328598748 6139306.968234287, 574600.7364687992 6139286.368932914, 574556.8798916825 6139197.991285089))"
3,17,C_DU_RM_CL_10       ,C ,"POLYGON ((574357.792652874 6139840.80284245, 574456.318188966 6139797.24514641, 574532.240141037 6139761.69906637, 574613.197357112 6139723.79535434, 574690.757133185 6139687.4823303, 574770.218125259 6139650.27925827, 574786.030541273 6139642.87593026, 574873.497229355 6139601.81721022, 574920.134733398 6139579.9246022, 574965.53495744 6139558.61263418, 575008.52014148 6139538.43449016, 575048.247181517 6139519.78565815, 575048.382573518 6139519.72217015, 575052.593709521 6139528.49989816, 575052.685389522 6139528.69103416, 575079.906125547 6139585.42908221, 575080.613453548 6139586.90335421, 575142.512877605 6139593.69346622, 575214.059789672 6139601.54201022, 575230.5983551716 6139603.550550536, 575236.024536093 6139559.894458577, 575345.7256825938 6139571.628282974, 575331.6876569886 6139696.268934558, 575331.4749596311 6139696.268934558, 575315.922669767 6139826.07817043, 575306.660813758 6139905.72108251, 575294.9725924669 6140038.631602597, 575321.363563312 6140093.879990161, 575344.632877794 6140148.91746673, 575360.696141808 6140183.11375477, 575284.769549738 6140226.19129081, 575291.0625811666 6140240.233898424, 575284.9602931585 6140380.907695664, 575186.179277646 6140377.26447495, 575184.066669644 6140481.28975504, 575181.933357642 6140586.32057114, 575181.895437642 6140588.18703514, 575137.467853601 6140586.49989914, 575038.415757508 6140443.73493901, 575037.452525507 6140442.34652301, 574948.675405425 6140490.50946705, 574874.421325356 6140530.79337109, 574803.408749289 6140569.31887512, 574711.721229204 6140619.06076317, 574609.484429109 6140674.52572322, 574554.161357057 6140593.10969115, 574553.891981057 6140592.71324315, 574461.978732971 6140457.44927502, 574452.451852963 6140436.345563, 574418.814348931 6140361.83292293, 574417.01505293 6140357.84725893, 574361.1438958177 6140239.774432827, 574357.792652874 6139840.80284245))"
4,18,C_DU_RM_CL_09       ,C ,"POLYGON ((573475.528172053 6139399.44876204, 573463.384076041 6139398.60757803, 573479.813932057 6139343.02908198, 573492.155084068 6139201.18111385, 573502.562668078 6139081.55752974, 573509.568876085 6138996.87605766, 573526.6716281 6138790.15935347, 573534.782668108 6138692.12460138, 573535.097932108 6138688.31362537, 573643.431372209 6138697.03964138, 573743.241036302 6138705.07909739, 573847.353612399 6138713.4650494, 573951.064460496 6138721.8186814, 574054.889452592 6138730.18149741, 574163.509452694 6138738.93052142, 574163.270828693 6138723.84892141, 574163.079916693 6138711.78645739, 574161.988876692 6138642.83964133, 574295.839916817 6138584.53906528, 574327.089228846 6138599.11426529, 574343.084044861 6138634.29992932, 574347.977228865 6138645.06405733, 574363.160652879 6138678.46469736, 574363.77975688 6138679.82632936, 574364.27991688 6138680.92674537, 574503.15265301 6138705.02325739, 574535.7484172457 6138710.679103383, 574605.936397106 6138722.8577534, 574607.874701107 6138723.19410541, 574663.753613159 6138746.09525743, 574702.139565195 6138761.82716144, 574703.550829196 6138762.40552944, 574719.933325212 6138765.14927344, 574799.770509286 6138778.52015346, 574799.902733286 6138778.54223346, 574786.475757274 6138911.72876158, 574784.966861272 6138919.26908159, 574783.822733271 6138924.98652159, 574772.829965261 6138930.2024576, 574688.907853183 6138970.02223364, 574617.1644468047 6139004.13768113, 574494.7937712293 6139063.158267619, 574537.5862656614 6139154.657666282, 574596.0850136505 6139281.717477766, 574611.3683662821 6139307.63272788, 574610.0393790967 6139309.626208657, 574679.1467127352 6139463.788722157, 574730.977212964 6139562.798267464, 574781.3921337535 6139645.19346603, 574690.757133185 6139687.4823303, 574613.197357112 6139723.79535434, 574532.240141037 6139761.69906637, 574456.318188966 6139797.24514641, 574357.792652874 6139840.80284245, 574357.1257458501 6139802.254550251, 574356.692940873 6139772.64876238, 574350.895052868 6139733.05103435, 574349.793356867 6139725.52745034, 574349.394380867 6139722.80268234, 574330.339564849 6139624.87077824, 574324.491340843 6139594.81372222, 574322.651916842 6139598.98405822, 574268.139212791 6139722.56828234, 574267.51716479 6139723.97826634, 574177.523244707 6139674.04156229, 574100.240972635 6139631.15842625, 573944.60020449 6139544.79506617, 573941.859980487 6139543.27452217, 573892.750828441 6139641.89897026, 573892.452236441 6139642.49855426, 573764.394700322 6139572.2847622, 573672.334348236 6139521.80805815, 573671.073036235 6139521.11657015, 573563.0616334585 6139509.886648878, 573567.8076416628 6139460.844564101, 573570.9716471323 6139406.423670025, 573475.528172053 6139399.44876204))"
5,661,F_DU_RM_CL_11       ,F ,"POLYGON ((580806.5223943496 6145402.467767578, 580954.7629288707 6145490.841932388, 581157.8904830563 6145612.681752015, 581494.8600531393 6145604.935325116, 581588.8175471363 6145612.729162634, 581933.786801305 6145820.655836381, 582049.5641537316 6145624.543178189, 582052.6027898283 6145465.499640944, 582474.8687136656 6145775.762577277, 582470.9098423452 6146197.536982847, 582723.1490934939 6146376.375389815, 582597.5473274986 6146569.658936451, 582232.1458301232 6146308.0260396525, 582231.9348960748 6146308.992234987, 581886.8965279427 6146524.865301083, 581678.2854638987 6146399.174855459, 581629.5575158927 6146488.3113457095, 581525.5649439285 6146663.613109869, 580941.4094947921 6146328.658505192, 580622.4310748415 6146134.9086501105, 580397.9647793208 6146021.494100794, 580251.4709864546 6145934.070385696, 580416.8672042068 6145700.152877732, 580464.1232664217 6145650.534012407, 580615.3426655093 6145688.338862179, 580653.1475152812 6145596.189540859, 580738.2084272681 6145454.421354215, 580806.5223943496 6145402.467767578))"
6,4,C_DU_RM_CL_05       ,C ,"POLYGON ((574375.114380891 6142062.50041252, 574375.074828891 6142062.43106852, 574377.897484893 6142060.77737251, 574379.359436895 6142059.92086051, 574451.092044961 6142017.89465247, 574522.980941028 6141975.77695643, 574531.885645037 6141970.55999643, 574636.424077134 6141909.31362837, 574643.511149141 6141906.60876437, 574714.274637206 6141879.60034835, 574747.132237237 6141867.05954833, 574844.950573328 6141829.7251483, 574854.967021337 6141825.90217229, 574858.502669341 6141826.8331803, 574973.079213448 6141857.00476432, 575034.394701505 6141850.41398032, 575035.770509506 6141849.72463632, 575159.669645621 6141787.65010826, 575175.867405636 6141779.53490825, 575204.606797663 6141765.13615624, 575236.808877693 6141741.79478022, 575267.801293722 6141719.3302682, 575539.8380759866 6141520.712048971, 575865.947989957 6141906.99947267, 575809.553428398 6141959.31562454, 575764.690921822 6142001.78733923, 575695.498591929 6142066.76062462, 575609.57071883 6142147.76627913, 575532.502839194 6142220.33384463, 575520.830149395 6142230.74082107, 575441.793382322 6142304.43346511, 575383.851837778 6142358.85913923, 575326.613467318 6142414.26925707, 575316.206490871 6142423.12925053, 575308.893480394 6142430.02035656, 575286.182162277 6142452.21967149, 575254.628401816 6142481.97035993, 575208.950577147 6142527.9486966, 575160.56814444 6142576.03061731, 575102.569327591 6142631.32482612, 575015.420846316 6142719.97586741, 574930.375949072 6142800.8135966, 574802.658347204 6142928.83171047, 574797.960141284 6142920.16822131, 574695.836557189 6142773.20758118, 574649.236557146 6142706.14793311, 574627.204365125 6142651.15593306, 574583.179213084 6142541.26985296, 574562.419277065 6142489.45356491, 574542.612621047 6142440.01638087, 574540.428557044 6142433.42886086, 574502.385037009 6142318.68047675, 574476.435148985 6142240.40982068, 574378.203340893 6142067.92425252, 574375.114380891 6142062.50041252))"
7,5,C_DU_RM_CL_15       ,C ,"POLYGON ((574740.844429231 6140977.2354515, 574740.805773231 6140977.1204755, 574944.573773421 6140993.46005952, 575039.147149509 6141001.04354753, 575062.861517531 6141002.94517953, 575169.08922963 6141011.46325954, 575269.999117724 6141019.55484354, 575371.808141819 6141027.71865155, 575429.004397872 6141032.30505156, 575430.474765873 6141031.23935555, 575440.377037883 6141024.06287555, 575444.551629887 6141021.03727555, 575478.132941918 6141034.28572356, 575478.953005919 6141034.60927556, 575493.927245933 6141040.51705156, 575507.820141946 6141041.30223556, 575736.275342158 6141054.21397958, 575858.452622272 6141061.11913158, 575958.056846365 6141066.74860359, 576016.001934419 6141070.02345159, 576047.457230448 6141071.80124359, 576065.322766465 6141072.81100359, 576103.814478501 6141074.9864596, 576117.593038513 6141075.7651476, 576136.977038531 6141084.4593556, 576167.17134256 6141098.00233162, 576319.234446701 6141166.20693968, 576337.678798718 6141174.47977169, 576458.371214831 6141228.61369174, 576500.56852687 6141247.54041176, 576542.7841251518 6141265.845005759, 576483.3823858129 6141323.982878303, 576458.1050499241 6141350.524080986, 576412.6058453241 6141388.44008482, 576354.4679727796 6141447.841824158, 576212.753448322 6141575.66384416, 575865.947989957 6141906.99947267, 575539.8380759866 6141521.009196241, 575267.801293722 6141719.3302682, 575236.808877693 6141741.79478022, 575204.606797663 6141765.13615624, 575175.867405636 6141779.53490825, 575159.669645621 6141787.65010826, 575035.770509506 6141849.72463632, 575034.394701505 6141850.41398032, 575031.236333502 6141841.01922831, 574967.280845442 6141650.78057213, 574920.959949399 6141512.997468, 574877.660941359 6141384.20229988, 574825.33780531 6141228.56485974, 574770.621325259 6141065.80834759, 574740.844429231 6140977.2354515))"
8,6,B_DU_RM_CL_02       ,B ,"POLYGON ((574582.9035235777 6138627.816425519, 574622.744916689 6138549.5667829355, 574672.61831526 6138448.673470885, 574737.826350748 6138316.680941908, 574796.4419255053 6138228.255979499, 574856.947149339 6138268.89992898, 574926.228237404 6138315.56904903, 574994.886541468 6138361.81845707, 575055.933069525 6138402.94044111, 575056.876173525 6138403.57576911, 575077.335277545 6138414.99426512, 575151.534381614 6138456.40620116, 575255.30817371 6138514.32415321, 575356.381325804 6138570.73477726, 575356.822317805 6138570.98082526, 575360.559501808 6138573.06664927, 575453.919245895 6138581.01317727, 575546.950349982 6138588.93173728, 575551.198381986 6138589.29333728, 575568.490158002 6138590.76514528, 575684.65678211 6138600.65295329, 575805.294638223 6138610.9213693, 575923.198862332 6138620.95708131, 575987.081358392 6138626.39452131, 576053.035022453 6138632.00834532, 576151.617102545 6138640.39948133, 576257.862222644 6138649.44277734, 576273.053358658 6138650.73576934, 576263.098158649 6138769.74792945, 576254.536782641 6138872.09736954, 576251.186446638 6138912.14997758, 576245.580942633 6138972.33532164, 576233.9722884052 6139060.3103887625, 576233.9722884052 6139060.3103887625, 576221.45812661 6139058.91976972, 576109.663694506 6139045.70565771, 576010.007246413 6139033.92623369, 576010.007246413 6139033.92623369, 575886.098574298 6139019.28028168, 575769.693070189 6139005.52120967, 575651.601678079 6138999.93148166, 575529.312333965 6138994.14312966, 575529.312333965 6138994.14312966, 575412.360909857 6138988.48767365, 575312.739661764 6138978.15909764, 575206.761933665 6138967.17135363, 575110.9829074673 6138956.715003482, 575009.502605481 6138946.71976961, 574907.029645386 6138936.0954496, 574851.031949334 6138930.2896576, 574832.301325316 6138924.90434559, 574786.475757274 6138911.72876158, 574799.902733286 6138778.54223346, 574799.770509286 6138778.52015346, 574719.933325212 6138765.14927344, 574703.550829196 6138762.40552944, 574702.139565195 6138761.82716144, 574663.753613159 6138746.09525743, 574607.874701107 6138723.19410541, 574605.936781106 6138722.8565374, 574535.7484172457 6138710.679103383, 574582.9035235777 6138627.816425519))"
9,7,B_DU_RM_CL_01       ,B ,"POLYGON ((573543.912172116 6138586.70652128, 573601.39962817 6137924.00552866, 573704.310828266 6137930.42527267, 573725.468428286 6137931.74504867, 573803.892300359 6137936.63717667, 573909.937548457 6137943.25224868, 573911.193356459 6137943.33052068, 573912.98161246 6137905.54527264, 573914.829260462 6137866.50066461, 573916.875340464 6137864.1832566, 573922.620492469 6137857.6757046, 573921.657484468 6137827.36124057, 573921.581612468 6137824.97103257, 573925.115340472 6137825.28671257, 574022.442252562 6137833.97884058, 574055.576396593 6137836.93807258, 574125.197580658 6137843.15586459, 574237.287884762 6137853.1667126, 574246.778860771 6137854.0142646, 574247.013932771 6137854.3383286, 574282.134348804 6137902.78773664, 574283.656780805 6137904.88805664, 574308.588236829 6137925.65282466, 574338.773324857 6137944.38885668, 574342.67124486 6137946.80828068, 574443.697420954 6138009.51570474, 574528.813325034 6138062.34751279, 574602.041549102 6138107.80047283, 574674.74634917 6138152.92853687, 574675.53063717 6138153.41544887, 574683.633293178 6138158.44476088, 574761.829581251 6138206.98152892, 574796.4419255053 6138228.255979499, 574737.826350748 6138316.680941908, 574672.61831526 6138448.673470885, 574622.744916689 6138549.5667829355, 574582.9035235777 6138627.816425519, 574535.7484172457 6138710.679103383, 574503.16436501 6138704.99570539, 574364.27991688 6138680.92674537, 574363.77975688 6138679.82632936, 574363.160652879 6138678.46469736, 574347.977228865 6138645.06405733, 574343.084044861 6138634.29992932, 574327.089228846 6138599.11426529, 574295.839916817 6138584.53906528, 574161.988876692 6138642.83964133, 574163.079916693 6138711.78645739, 574163.270828693 6138723.84892141, 574163.509452694 6138738.93052142, 574054.889452592 6138730.18149741, 573951.064460496 6138721.8186814, 573847.353612399 6138713.4650494, 573743.241036302 6138705.07909739, 573643.431372209 6138697.03964138, 573535.097932108 6138688.31362537, 573543.912172116 6138586.70652128))"
10,9,C_DU_RM_CL_06       ,C ,"POLYGON ((573432.207116012 6141069.38581959, 573432.708236013 6141212.37263572, 573432.712332013 6141213.54565972, 573445.508812025 6141299.3657238, 573455.009100034 6141363.08015586, 573469.718508047 6141461.72943596, 573470.778252048 6141465.59362796, 573475.453548053 6141482.64085997, 573475.803340053 6141483.91628398, 573480.273740057 6141483.78703598, 573558.95153213 6141481.51250797, 573641.585164207 6141479.12341997, 573819.015052373 6141473.99397997, 573820.304780374 6141473.95666797, 573830.481356383 6141435.50485993, 573861.189260412 6141454.33813995, 573862.493388413 6141455.13797995, 573863.414732414 6141454.83605995, 573882.219276431 6141448.67484394, 573888.787148438 6141446.52297194, 573973.690156517 6141418.70517992, 574071.646732608 6141386.61036389, 574169.268492699 6141354.62527586, 574169.334348699 6141354.84338786, 574169.780588699 6141356.32268386, 574209.320524736 6141487.38517998, 574209.721260737 6141488.71375598, 574281.097420803 6141708.50687619, 574281.414604803 6141709.48354819, 574191.83908472 6141754.15078023, 574185.584140714 6141757.26972423, 574185.606092714 6141757.34057223, 574224.44532475 6141882.96022035, 574257.412620781 6141989.58812445, 574274.194700797 6142043.8675485, 574294.558860816 6142109.73257256, 574295.005836816 6142111.17833256, 574375.114380891 6142062.50041252, 574377.898828893 6142060.80834851, 574379.359436895 6142059.92086051, 574403.229900917 6142045.4159965, 574432.313356944 6142027.74335648, 574522.811661028 6141975.23414043, 574636.424077134 6141909.31362837, 574643.511149141 6141906.60876437, 574714.274637206 6141879.60034835, 574747.132237237 6141867.05954833, 574844.950573328 6141829.7251483, 574854.967021337 6141825.90217229, 574858.502669341 6141826.8331803, 574973.079213448 6141857.00476432, 575034.394701505 6141850.41398032, 575031.236333502 6141841.01922831, 574967.280845442 6141650.78057213, 574920.959949399 6141512.997468, 574877.660941359 6141384.20229988, 574825.33780531 6141228.56485974, 574770.621325259 6141065.80834759, 574740.844429231 6140977.2354515, 574740.805773231 6140977.1204755, 574736.423053227 6140976.7701395, 574596.007437096 6140965.54825149, 574496.706445004 6140957.61212349, 574394.533676909 6140949.44658748, 574265.708556789 6140939.15090747, 574205.084268732 6140934.30578746, 574030.44647657 6140920.34876345, 574009.24263655 6140918.65417145, 573794.87230035 6140901.52178743, 573679.957484243 6140892.33775542, 573672.014028236 6140891.70297142, 573667.804620232 6140891.46985142, 573663.801036228 6140891.24821942, 573521.294348095 6140883.35887542, 573431.537740012 6140878.38985141, 573432.207116012 6141069.38581959))"
