"TRAYECTO","DESCRIPCION","NOMENCLATURA_CIRCUITO"
3,"LEVANTE BOLSAS DE BARRIDO","LB_5_TAREAMANO"
6,"DOMICILIARIA MANUAL","G_DM_01"
7,"DOMICILIARIA MANUAL","G_DM_03"
8,"DOMICILIARIA MANUAL","G_DM_04"
9,"DOMICILIARIA MANUAL","G_DM_05"
10,"C.C.Z.  12  REC.  5",""
11,"C.C.Z.  12  REC.  6",""
12,"C.C.Z.  12  REC.  7",""
13,"C.C.Z.  12  REC.  8",""
14,"DOMICILIARIA MANUAL","A_DM_12"
15,"DOMICILIARIA MANUAL","A_DM_13"
16,"DOMICILIARIA MANUAL","A_DM_14"
17,"DOMICILIARIA MANUAL","G_DM_02"
18,"C.C.Z.  14  REC.  5",""
19,"C.C.Z.  14  REC.  6",""
20,"C.C.Z.  14  REC.  7",""
21,"C.C.Z.  14  REC.  8",""
22,"C.C.Z.  14  REC.  9",""
23,"C.C.Z.  14  REC.  10",""
24,"C.C.Z.  14  REC.  11",""
25,"C.C.Z.  14  REC.  12",""
26,"C.C.Z.  14  REC.  13",""
27,"C.C.Z.  14  REC.  14",""
28,"C.C.Z.  15  REC.  1",""
29,"C.C.Z.  15  REC.  2",""
30,"C.C.Z.  15  REC.  3",""
31,"C.C.Z.  15  REC.  4",""
32,"C.C.Z.  15  REC.  5",""
33,"DOMICILIARIA MANUAL","A_DM_01"
34,"DOMICILIARIA MANUAL","A_DM_02"
35,"DOMICILIARIA MANUAL","A_DM_03"
36,"DOMICILIARIA MANUAL","A_DM_04"
37,"DOMICILIARIA MANUAL","A_DM_05"
38,"DOMICILIARIA MANUAL","A_DM_06"
39,"DOMICILIARIA MANUAL","A_DM_07"
40,"C.C.Z.  17  REC.  8",""
41,"C.C.Z.  17  REC.  9",""
42,"C.C.Z.  17  REC.  10",""
43,"C.C.Z.  17  REC.  11",""
44,"DOMICILIARIA MANUAL","A_DM_08"
45,"DOMICILIARIA MANUAL","A_DM_09"
46,"DOMICILIARIA MANUAL","A_DM_15"
47,"DOMICILIARIA MANUAL","A_DM_10"
48,"DOMICILIARIA MANUAL","A_DM_11"
49,"C.C.Z.  3  REC.  1",""
50,"C.C.Z.  3  REC.  2",""
51,"C.C.Z.  3  REC.  3",""
52,"C.C.Z.  3  REC.  4",""
53,"C.C.Z.  3  REC.  5",""
54,"C.C.Z.  3  REC.  6",""
55,"C.C.Z.  3  REC.  7",""
56,"C.C.Z.  3  REC.  8",""
57,"C.C.Z.  3  REC.  9",""
58,"C.C.Z.  4  REC.  4",""
59,"C.C.Z.  4  REC.  5",""
60,"C.C.Z.  4  REC.  6",""
61,"C.C.Z.  4  REC.  7",""
62,"C.C.Z.  4  REC.  8",""
66,"C.C.Z.  4  REC.  1",""
67,"C.C.Z.  4  REC.  2",""
68,"C.C.Z.  4  REC.  3",""
69,"C.C.Z.  5  REC.  1",""
70,"C.C.Z.  5  REC.  2",""
71,"C.C.Z.  5  REC.  3",""
72,"C.C.Z.  5  REC.  4",""
73,"C.C.Z.  5  REC.  5",""
74,"C.C.Z.  5  REC.  6",""
75,"C.C.Z.  5  REC.  7",""
76,"C.C.Z.  5  REC.  8",""
77,"C.C.Z.  5  REC.  9",""
78,"C.C.Z.  5  REC.  10",""
79,"C.C.Z.  5  REC.  11",""
80,"C.C.Z.  5  REC.  12",""
81,"C.C.Z.  16  REC.  1",""
82,"C.C.Z.  16  REC.  2",""
83,"C.C.Z.  16  REC.  3",""
84,"C.C.Z.  16  REC.  4",""
85,"C.C.Z.  6  REC.  1",""
86,"C.C.Z.  6  REC.  2",""
87,"C.C.Z.  6  REC.  3",""
88,"C.C.Z.  6  REC.  4",""
89,"C.C.Z.  6  REC.  5",""
90,"C.C.Z.  6  REC.  6",""
91,"C.C.Z.  6  REC.  7",""
92,"C.C.Z.  6  REC.  8",""
93,"C.C.Z.  6  REC.  9",""
94,"C.C.Z.  6  REC.  10",""
95,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_08_9.1"
96,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_09_9.2"
97,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_10_9.3"
98,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_11_9.4"
99,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_12_9.5"
100,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_07_9.6"
101,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_16_9.7"
102,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_13_9.8"
103,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_14_9.9"
104,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_15_9.10"
105,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_17_9.11"
106,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_18_9.12"
107,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_19_9.13"
108,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_01_9_14"
109,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_02_9.15"
110,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_03_9.16"
111,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_04_9.17"
112,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_08_10.3"
113,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_20_10.2"
114,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_08_10.3"
115,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_09_10.4"
116,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_02_LM2"
117,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_01_LM1"
118,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_07_LM1"
119,"C.C.Z.  7  REC.  1",""
120,"C.C.Z.  7  REC.  2",""
121,"C.C.Z.  7  REC.  3",""
122,"C.C.Z.  7  REC.  4",""
123,"C.C.Z.  7  REC.  5",""
124,"C.C.Z.  7  REC.  6",""
125,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_03_11.1"
126,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_06_11.4"
127,"C.C.Z.  11  REC.  3",""
128,"C.C.Z.  11  REC.  4",""
129,"C.C.Z.  11  REC.  5",""
130,"C.C.Z.  11  REC.  6",""
131,"C.C.Z.  11  REC.  7",""
132,"C.C.Z.  11  REC.  8",""
133,"C.C.Z.  11  REC.  9",""
134,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_04_11.2"
135,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_05_11.3"
136,"Tipo Rec: BARRIDO - REGION ESTE",""
137,"Tipo Rec: BARRIDO - REGION CENTRO",""
138,"C.C.Z.  13  REC.  1",""
139,"C.C.Z.  13  REC.  2",""
140,"C.C.Z.  13  REC.  3",""
141,"C.C.Z.  13  REC.  4",""
142,"C.C.Z.  13  REC.  5",""
143,"C.C.Z.  13  REC.  6",""
144,"C.C.Z.  13  REC.  7",""
145,"C.C.Z.  13  REC.  8",""
146,"C.C.Z.  13  REC.  9",""
147,"C.C.Z.  13  REC.  10",""
148,"Tipo Rec: ESPECIALES - REGION OESTE",""
149,"Tipo Rec: ESPECIALES - REGION CENTRO",""
150,"Tipo Rec: ESPECIALES - REGION ESTE",""
151,"Tipo Rec: COMPLEJOS HABITAC. - REGION OESTE",""
152,"Tipo Rec: COMPLEJOS HABITAC. - REGION CENTRO",""
153,"Tipo Rec: COMPLEJOS HABITAC. - REGION ESTE",""
154,"Tipo Rec: PUNTOS VERDES - REGION OESTE",""
155,"Tipo Rec: PUNTOS VERDES - REGION CENTRO",""
