"DIA","TIPO_SERVICIO","TRAYECTO","PESO_NETO","CANT_VIAJES"
"01/01/2021",24,1894,17430,2
"01/01/2021",24,1904,17090,1
"01/01/2021",24,1905,0,2
"01/01/2021",24,1906,6390,1
"01/01/2021",24,1908,9180,1
"01/01/2021",24,1909,21070,1
"01/01/2021",24,1910,24500,1
"01/01/2021",24,1911,20230,1
"01/01/2021",24,1912,12830,1
"01/01/2021",24,1913,15090,1
"01/01/2021",24,1929,0,1
"01/01/2021",24,1932,0,1
"01/01/2021",24,2677,18740,1
"01/01/2021",24,2706,28070,1
"01/01/2021",24,2787,0,1
"01/01/2021",60,2406,0,1
"01/01/2021",60,2543,5030,1
"01/01/2021",60,2544,5230,1
"01/01/2021",60,2671,7720,1
"02/01/2021",1,116,2630,1
"02/01/2021",1,118,2130,1
"02/01/2021",1,2282,0,1
"02/01/2021",1,2662,6260,1
"02/01/2021",4,1826,5060,1
"02/01/2021",8,2366,0,1
"02/01/2021",8,2663,1580,1
"02/01/2021",8,2664,1550,1
"02/01/2021",24,1932,0,1
"02/01/2021",24,1956,23460,3
"02/01/2021",24,1958,34950,1
"02/01/2021",24,2092,26260,2
"02/01/2021",24,2453,30160,2
"02/01/2021",24,2655,0,1
"02/01/2021",24,2657,0,1
"02/01/2021",24,2658,0,1
"02/01/2021",24,2661,0,2
"02/01/2021",24,2674,0,2
"02/01/2021",24,2675,10010,1
"02/01/2021",24,2676,0,1
"02/01/2021",24,2684,9040,1
"02/01/2021",24,2687,0,1
"02/01/2021",24,2696,12130,1
"02/01/2021",24,2700,0,1
"02/01/2021",24,2701,0,1
"02/01/2021",24,2707,22860,1
"02/01/2021",24,2708,10060,1
"02/01/2021",24,2709,14710,1
"02/01/2021",24,2712,0,1
"02/01/2021",24,2714,24140,1
"02/01/2021",24,2715,13250,1
"02/01/2021",24,2718,7070,1
"02/01/2021",24,2725,0,1
"02/01/2021",24,2728,0,1
"02/01/2021",24,2731,28090,1
"02/01/2021",24,2733,12560,1
"02/01/2021",24,2737,14490,2
"02/01/2021",24,2738,19880,1
"02/01/2021",24,2744,0,1
"02/01/2021",24,2748,0,1
"02/01/2021",24,2786,0,1
"02/01/2021",26,2308,0,1
"02/01/2021",27,2332,25600,1
"02/01/2021",27,2376,0,1
"02/01/2021",35,1547,4500,1
"02/01/2021",35,1564,6540,1
"02/01/2021",39,1604,4240,1
"02/01/2021",60,2558,0,1
"02/01/2021",75,2509,2930,1
"02/01/2021",75,2515,1000,1
"02/01/2021",76,2303,0,1
"03/01/2021",24,1910,11820,1
"03/01/2021",24,1912,16800,1
